Gear,Flag,Year,Region,Annual-Catch-Estimate,Aggregate-Data-Area,Aggregate-Data-Time,Aggregate-Data-catch-recs,Operational-Data-catch-recs,Length-Data-Area1,Length-Data-Time1,Length-Data-Size-int1,Length-Data-Samples1,Length-Data-Area2,Length-Data-Time2,Length-Data-Size-int2,Length-Data-Samples2
L,AU,1989,WCPFC,62,5x5,MON,37,573,5x5,MON,1,3,...,...,...,0
L,AU,1990,WCPFC,30,5x5,MON,44,264,5x5,MON,1,31,...,...,...,0
L,AU,1991,WCPFC,27,5x5,MON,51,222,5x5,MON,1,516,...,...,...,0
L,AU,1992,WCPFC,34,5x5,MON,55,314,5x5,MON,1,592,...,...,...,0
L,AU,1993,WCPFC,25,5x5,MON,37,224,5x5,MON,1,1576,...,...,...,0
L,AU,1994,WCPFC,133,5x5,MON,63,710,5x5,MON,1,376,...,...,...,0
L,AU,1995,WCPFC,172,5x5,MON,99,1174,5x5,MON,1,609,...,...,...,0
L,AU,1996,WCPFC,293,5x5,MON,103,1877,5x5,MON,1,1080,...,...,...,0
L,AU,1997,WCPFC,808,5x5,MON,123,4096,5x5,MON,1,743,...,...,...,0
L,AU,1999,WCPFC,891,5x5,MON,160,6412,5x5,MON,1,64,...,...,...,0
L,AU,2000,WCPFC,765,5x5,MON,162,5984,5x5,MON,1,8,...,...,...,0
L,AU,2001,WCPFC,1307,5x5,MON,170,7710,5x5,MON,1,575,...,...,...,0
L,AU,2002,WCPFC,1002,5x5,MON,182,7059,5x5,MON,1,684,...,...,...,0
L,AU,2003,WCPFC,1024,5x5,MON,179,7902,5x5,MON,1,641,...,...,...,0
L,AU,2004,WCPFC,892,5x5,MON,170,6301,5x5,MON,1,851,...,...,...,0
L,AU,2005,WCPFC,791,5x5,MON,147,6207,5x5,MON,1,1016,...,...,...,0
L,AU,2006,WCPFC,499,5x5,MON,138,4163,5x5,MON,1,883,...,...,...,0
L,AU,2007,WCPFC,1008,5x5,MON,137,5175,5x5,MON,1,1272,...,...,...,0
L,AU,2008,WCPFC,1027,5x5,MON,119,4523,5x5,MON,1,1964,...,...,...,0
L,AU,2009,WCPFC,726,5x5,MON,135,3941,5x5,MON,1,833,...,...,...,0
L,AU,2010,WCPFC,458,5x5,MON,139,3200,5x5,MON,1,521,...,...,...,0
L,AU,2011,WCPFC,379,5x5,MON,114,2781,5x5,MON,1,576,...,...,...,0
L,AU,2012,WCPFC,553,5x5,MON,116,2913,5x5,MON,1,1009,...,...,...,0
