Gear,Flag,Year,Region,Annual-Catch-Estimate,Aggregate-Data-Area,Aggregate-Data-Time,Aggregate-Data-catch-recs,Operational-Data-catch-recs,Length-Data-Area1,Length-Data-Time1,Length-Data-Size-int1,Length-Data-Samples1,Length-Data-Area2,Length-Data-Time2,Length-Data-Size-int2,Length-Data-Samples2
L,AU,1989,WCPFC,43,5x5,MON,24,92,5x5,MON,1,2,...,...,...,0
L,AU,1990,WCPFC,63,5x5,MON,29,170,5x5,MON,1,53,...,...,...,0
L,AU,1991,WCPFC,66,5x5,MON,35,221,5x5,MON,1,147,...,...,...,0
L,AU,1992,WCPFC,62,5x5,MON,42,353,5x5,MON,1,118,...,...,...,0
L,AU,1993,WCPFC,5,5x5,MON,44,302,5x5,MON,1,118,...,...,...,0
L,AU,1994,WCPFC,5,5x5,MON,47,384,5x5,MON,1,82,...,...,...,0
L,AU,1995,WCPFC,15,5x5,MON,58,547,5x5,MON,1,61,...,...,...,0
L,AU,1996,WCPFC,11,5x5,MON,63,459,5x5,MON,1,177,...,...,...,0
L,AU,1997,WCPFC,8,5x5,MON,68,472,5x5,MON,1,126,...,...,...,0
L,AU,2001,WCPFC,6,5x5,MON,50,178,5x5,MON,1,8,...,...,...,0
L,AU,2002,WCPFC,8,5x5,MON,52,295,5x5,MON,1,464,...,...,...,0
L,AU,2003,WCPFC,3,5x5,MON,65,236,5x5,MON,1,162,...,...,...,0
L,AU,2004,WCPFC,1,5x5,MON,40,100,5x5,MON,1,47,...,...,...,0
L,AU,2005,WCPFC,2,5x5,MON,49,154,5x5,MON,1,65,...,...,...,0
L,AU,2006,WCPFC,49,5x5,MON,86,1062,5x5,MON,1,685,...,...,...,0
L,AU,2007,WCPFC,8,5x5,MON,75,407,5x5,MON,1,114,...,...,...,0
L,AU,2008,WCPFC,15,5x5,MON,54,441,5x5,MON,1,739,...,...,...,0
L,AU,2009,WCPFC,10,5x5,MON,65,432,5x5,MON,1,230,...,...,...,0
L,AU,2010,WCPFC,4,5x5,MON,65,245,5x5,MON,1,79,...,...,...,0
L,AU,2011,WCPFC,2,5x5,MON,40,127,5x5,MON,1,87,...,...,...,0
L,AU,2012,WCPFC,3,5x5,MON,43,127,5x5,MON,1,37,...,...,...,0
L,AU,2013,WCPFC,3,5x5,MON,54,164,5x5,MON,1,62,...,...,...,0
L,AU,2014,WCPFC,2,5x5,MON,51,149,5x5,MON,1,29,...,...,...,0
L,AU,2015,WCPFC,5,5x5,MON,60,275,5x5,MON,1,11,...,...,...,0
L,BZ,2000,WCPFC,0,...,...,0,0,5x5,MON,1,1,...,...,...,0
L,BZ,2002,WCPFC,0,...,...,0,0,10x20,MON,1,33,...,...,...,0
L,BZ,2006,WCPFC,1,5x5,MON,2,3,5x5,MON,1,1,...,...,...,0
L,BZ,2017,WCPFC,0,...,...,0,0,5x5,MON,1,7,...,...,...,0
L,CK,1995,WCPFC,0,5x5,MON,2,8,5x5,MON,1,2,...,...,...,0
L,CK,1996,WCPFC,0,5x5,MON,4,6,5x5,MON,1,1,...,...,...,0
L,CK,2002,WCPFC,16,5x5,MON,29,169,5x5,MON,1,5,...,...,...,0
L,CK,2003,WCPFC,34,5x5,MON,68,648,5x5,MON,1,217,...,...,...,0
L,CK,2004,WCPFC,62,5x5,MON,63,960,5x5,MON,1,70,...,...,...,0
L,CK,2005,WCPFC,32,5x5,MON,57,578,5x5,MON,1,244,...,...,...,0
L,CK,2006,WCPFC,69,5x5,MON,86,867,5x5,MON,1,302,...,...,...,0
L,CK,2007,WCPFC,41,5x5,MON,95,798,5x5,MON,1,600,...,...,...,0
L,CK,2008,WCPFC,54,5x5,MON,95,1027,5x5,MON,1,328,...,...,...,0
L,CK,2009,WCPFC,89,5x5,MON,69,997,5x5,MON,1,317,...,...,...,0
L,CK,2010,WCPFC,124,5x5,MON,69,893,5x5,MON,1,457,...,...,...,0
L,CK,2011,WCPFC,135,5x5,MON,79,1161,5x5,MON,1,489,...,...,...,0
L,CK,2012,WCPFC,308,5x5,MON,84,1847,5x5,MON,1,480,...,...,...,0
L,CK,2013,WCPFC,40,5x5,MON,91,1096,5x5,MON,1,625,...,...,...,0
L,CK,2014,WCPFC,137,5x5,MON,73,1082,5x5,MON,1,665,...,...,...,0
L,CK,2015,WCPFC,86,5x5,MON,77,1056,5x5,MON,1,1259,...,...,...,0
L,CK,2016,WCPFC,38,5x5,MON,108,1241,5x5,MON,1,545,...,...,...,0
L,CK,2017,WCPFC,67,5x5,MON,112,1511,5x5,MON,1,687,...,...,...,0
L,CK,2018,WCPFC,75,5x5,MON,130,2033,5x5,MON,1,653,...,...,...,0
L,CK,2019,WCPFC,128,5x5,MON,92,1159,5x5,MON,1,895,...,...,...,0
L,CK,2020,WCPFC,75,5x5,MON,95,877,5x5,MON,1,84,...,...,...,0
L,CK,2021,WCPFC,34,5x5,MON,69,563,5x5,MON,1,155,...,...,...,0
L,CK,2022,WCPFC,21,5x5,MON,39,222,5x5,MON,1,39,...,...,...,0
L,CK,2023,WCPFC,4,5x5,MON,26,101,5x5,MON,1,250,...,...,...,0
L,CN,1993,WCPFC,0,...,...,0,0,5x5,MON,1,1,...,...,...,0
L,CN,1994,WCPFC,0,...,...,0,0,5x5,MON,1,3,...,...,...,0
L,CN,1995,WCPFC,0,...,...,0,0,5x5,MON,1,47,...,...,...,0
L,CN,1996,WCPFC,0,...,...,0,0,5x5,MON,1,7,...,...,...,0
L,CN,1997,WCPFC,0,...,...,0,0,5x5,MON,1,7,...,...,...,0
L,CN,1998,WCPFC,0,...,...,0,0,5x5,MON,1,21,...,...,...,0
L,CN,1999,WCPFC,0,...,...,0,0,5x5,MON,1,7,...,...,...,0
L,CN,2000,WCPFC,0,...,...,0,0,5x5,MON,1,14,...,...,...,0
L,CN,2001,WCPFC,0,5x5,MON,1,1,5x5,MON,1,43,...,...,...,0
L,CN,2002,WCPFC,0,5x5,MON,4,5,5x5,MON,1,50,...,...,...,0
L,CN,2003,WCPFC,3,5x5,MON,14,54,5x5,MON,1,36,...,...,...,0
L,CN,2004,WCPFC,7,5x5,MON,26,254,5x5,MON,1,340,...,...,...,0
L,CN,2005,WCPFC,5,5x5,MON,26,423,5x5,MON,1,321,...,...,...,0
L,CN,2006,WCPFC,14,5x5,MON,43,399,5x5,MON,1,608,...,...,...,0
L,CN,2007,WCPFC,1,5x5,MON,66,217,5x5,MON,1,173,...,...,...,0
L,CN,2008,WCPFC,0,5x5,MON,14,222,5x5,MON,1,637,...,...,...,0
L,CN,2009,WCPFC,0,5x5,MON,11,708,5x5,MON,1,360,...,...,...,0
L,CN,2010,WCPFC,0,...,...,0,659,5x5,MON,1,28,...,...,...,0
L,CN,2011,WCPFC,0,...,...,0,1248,5x5,MON,1,151,...,...,...,0
L,CN,2012,WCPFC,0,...,...,0,2686,5x5,MON,1,2337,...,...,...,0
L,CN,2013,WCPFC,0,...,...,0,5976,5x5,MON,1,1373,...,...,...,0
L,CN,2014,WCPFC,0,...,...,0,6876,5x5,MON,1,1392,...,...,...,0
L,CN,2015,WCPFC,0,...,...,0,7135,5x5,MON,1,6,...,...,...,0
L,CN,2016,WCPFC,0,...,...,0,10517,5x5,MON,1,2224,...,...,...,0
L,CN,2017,WCPFC,0,...,...,0,9716,5x5,MON,1,2989,...,...,...,0
L,CN,2018,WCPFC,0,...,...,0,13256,5x5,MON,1,2983,...,...,...,0
L,CN,2019,WCPFC,0,...,...,0,12902,5x5,MON,1,17142,...,...,...,0
L,CN,2020,WCPFC,0,...,...,0,14106,5x5,MON,1,6073,...,...,...,0
L,CN,2021,WCPFC,140,...,...,0,6163,5x5,MON,1,3878,...,...,...,0
L,CN,2022,WCPFC,119,...,...,0,14429,5x5,MON,1,6841,...,...,...,0
L,CN,2023,WCPFC,0,...,...,0,9162,5x5,MON,1,6334,...,...,...,0
L,FJ,1994,WCPFC,0,...,...,0,0,5x5,MON,1,1,...,...,...,0
L,FJ,1995,WCPFC,0,...,...,0,0,5x5,MON,1,20,...,...,...,0
L,FJ,1996,WCPFC,0,...,...,0,0,5x5,MON,1,238,...,...,...,0
L,FJ,1997,WCPFC,5,5x5,MON,22,42,5x5,MON,1,29,...,...,...,0
L,FJ,1999,WCPFC,7,5x5,MON,8,8,5x5,MON,1,149,...,...,...,0
L,FJ,2001,WCPFC,24,5x5,MON,26,111,5x5,MON,1,6,...,...,...,0
L,FJ,2002,WCPFC,75,5x5,MON,75,421,5x5,MON,1,502,...,...,...,0
L,FJ,2003,WCPFC,32,5x5,MON,85,314,5x5,MON,1,1258,...,...,...,0
L,FJ,2004,WCPFC,34,5x5,MON,79,364,5x5,MON,1,1138,...,...,...,0
L,FJ,2005,WCPFC,91,5x5,MON,116,736,5x5,MON,1,3239,...,...,...,0
L,FJ,2006,WCPFC,98,5x5,MON,125,629,5x5,MON,1,4398,...,...,...,0
L,FJ,2007,WCPFC,50,5x5,MON,129,478,5x5,MON,1,1323,...,...,...,0
L,FJ,2008,WCPFC,105,5x5,MON,129,723,5x5,MON,1,1727,...,...,...,0
L,FJ,2009,WCPFC,105,5x5,MON,208,1133,5x5,MON,1,2048,...,...,...,0
L,FJ,2010,WCPFC,152,5x5,MON,195,980,5x5,MON,1,720,...,...,...,0
L,FJ,2011,WCPFC,0,5x5,MON,256,1217,5x5,MON,1,416,...,...,...,0
L,FJ,2012,WCPFC,0,5x5,MON,285,2064,5x5,MON,1,283,...,...,...,0
L,FJ,2013,WCPFC,0,5x5,MON,332,3096,5x5,MON,1,1445,...,...,...,0
L,FJ,2014,WCPFC,0,5x5,MON,412,6378,5x5,MON,1,3350,...,...,...,0
L,FJ,2015,WCPFC,399,5x5,MON,393,6442,5x5,MON,1,4469,...,...,...,0
L,FJ,2016,WCPFC,254,5x5,MON,368,5975,5x5,MON,1,4004,...,...,...,0
L,FJ,2017,WCPFC,499,5x5,MON,299,7380,5x5,MON,1,5160,...,...,...,0
L,FJ,2018,WCPFC,439,5x5,MON,322,8284,5x5,MON,1,7520,...,...,...,0
L,FJ,2019,WCPFC,334,5x5,MON,319,7267,5x5,MON,1,6220,...,...,...,0
L,FJ,2020,WCPFC,434,5x5,MON,285,7628,5x5,MON,1,12530,...,...,...,0
L,FJ,2021,WCPFC,234,5x5,MON,231,6207,5x5,MON,1,9619,...,...,...,0
L,FJ,2022,WCPFC,407,5x5,MON,208,5907,5x5,MON,1,8719,...,...,...,0
L,FJ,2023,WCPFC,217,5x5,MON,258,5976,5x5,MON,1,4464,...,...,...,0
L,FM,1994,WCPFC,0,...,...,0,0,5x5,MON,1,1,...,...,...,0
L,FM,1995,WCPFC,0,...,...,0,0,5x5,MON,1,4,...,...,...,0
L,FM,1996,WCPFC,0,...,...,0,0,5x5,MON,1,7,...,...,...,0
L,FM,1997,WCPFC,0,...,...,0,0,5x5,MON,1,21,...,...,...,0
L,FM,1998,WCPFC,1,5x5,MON,8,30,5x5,MON,1,10,...,...,...,0
L,FM,1999,WCPFC,0,...,...,0,0,5x5,MON,1,11,...,...,...,0
L,FM,2000,WCPFC,0,...,...,0,0,5x5,MON,1,21,...,...,...,0
L,FM,2001,WCPFC,0,5x5,MON,1,1,5x5,MON,1,38,...,...,...,0
L,FM,2002,WCPFC,0,...,...,0,0,5x5,MON,1,6,...,...,...,0
L,FM,2003,WCPFC,0,5x5,MON,3,5,5x5,MON,1,58,...,...,...,0
L,FM,2004,WCPFC,0,5x5,MON,6,8,5x5,MON,1,15,...,...,...,0
L,FM,2005,WCPFC,0,5x5,MON,2,6,5x5,MON,1,82,...,...,...,0
L,FM,2006,WCPFC,0,5x5,MON,2,2,5x5,MON,1,25,...,...,...,0
L,FM,2007,WCPFC,0,...,...,0,0,5x5,MON,1,19,...,...,...,0
L,FM,2008,WCPFC,0,5x5,MON,15,46,5x5,MON,1,24,...,...,...,0
L,FM,2012,WCPFC,0,5x5,MON,11,74,5x5,MON,1,7,...,...,...,0
L,FM,2013,WCPFC,1,5x5,MON,54,174,5x5,MON,1,27,...,...,...,0
L,FM,2014,WCPFC,6,5x5,MON,19,68,5x5,MON,1,303,...,...,...,0
L,FM,2015,WCPFC,49,5x5,MON,88,770,5x5,MON,1,305,...,...,...,0
L,FM,2016,WCPFC,29,5x5,MON,96,646,5x5,MON,1,389,...,...,...,0
L,FM,2017,WCPFC,17,5x5,MON,69,355,5x5,MON,1,15,...,...,...,0
L,FM,2018,WCPFC,89,5x5,MON,138,1968,5x5,MON,1,90,...,...,...,0
L,FM,2019,WCPFC,309,5x5,MON,156,2126,5x5,MON,1,1788,...,...,...,0
L,FM,2020,WCPFC,27,5x5,MON,219,2295,5x5,MON,1,21,...,...,...,0
L,FM,2021,WCPFC,60,5x5,MON,166,3009,5x5,MON,1,22,...,...,...,0
L,FM,2022,WCPFC,49,5x5,MON,131,1612,5x5,MON,1,63,...,...,...,0
L,FM,2023,WCPFC,48,5x5,MON,127,1400,5x5,MON,1,379,...,...,...,0
L,ID,2019,WCPFC,2241,5x5,MON,72,0,5x10,MON,1,2,...,...,...,0
L,ID,2022,WCPFC,14,5x5,MON,72,21,5x10,MON,1,257,...,...,...,0
L,JP,1970,WCPFC,367,5x5,MON,1979,305,5x5,MON,2,8819,...,...,...,0
L,JP,1971,WCPFC,153,5x5,MON,1567,206,5x5,MON,2,7804,...,...,...,0
L,JP,1972,WCPFC,156,5x5,MON,1510,17,5x5,MON,2,4629,...,...,...,0
L,JP,1973,WCPFC,146,5x5,MON,1595,0,5x5,MON,2,5972,...,...,...,0
L,JP,1974,WCPFC,195,5x5,MON,1635,0,5x5,MON,2,4854,...,...,...,0
L,JP,1975,WCPFC,77,5x5,MON,1429,0,5x5,MON,2,2376,...,...,...,0
L,JP,1976,WCPFC,170,5x5,MON,1675,0,5x5,MON,2,3573,...,...,...,0
L,JP,1977,WCPFC,107,5x5,MON,1566,0,5x5,MON,2,2206,...,...,...,0
L,JP,1978,WCPFC,88,5x5,MON,1425,4,5x5,MON,2,3967,...,...,...,0
L,JP,1979,WCPFC,48,5x5,MON,1438,160,5x5,MON,2,2222,...,...,...,0
L,JP,1980,WCPFC,58,5x5,MON,1358,287,5x5,MON,2,1366,...,...,...,0
L,JP,1981,WCPFC,46,5x5,MON,620,390,5x5,MON,2,1517,...,...,...,0
L,JP,1982,WCPFC,33,5x5,MON,532,509,5x5,MON,2,1319,...,...,...,0
L,JP,1983,WCPFC,1171,5x5,MON,768,357,5x5,MON,2,1789,...,...,...,0
L,JP,1984,WCPFC,69,5x5,MON,615,444,5x5,MON,2,1738,...,...,...,0
